street_name,latitude,longitude
"TIERRASANTA BOULEVARD, SAN DEIGO",32.8204312,-117.0971896
"J STREET, SAN DEIGO",32.7094837,-117.139905
"41ST STREET, SAN DEIGO",32.7487064,-117.1069479
"31ST STREET, SAN DEIGO",32.7270344,-117.1274588
"40TH STREET, SAN DEIGO",32.7488482,-117.1095012
"SHAWLINE STREET, SAN DEIGO",32.8317423,-117.1638222
"GIRARD AVENUE, SAN DEIGO",32.8429889,-117.273295
"HAWTHORN STREET, SAN DEIGO",32.7275907,-117.1334626
"GOVERNOR DRIVE, SAN DEIGO",32.85422490000001,-117.2002723
"09TH AVENUE, SAN DEIGO",32.7162846,-117.1565394
"CARROLL CANYON ROAD, SAN DEIGO",32.8900452,-117.1990907
"LAMONT STREET, SAN DEIGO",32.800072,-117.235046
"PALM STREET, SAN DEIGO",32.7356311,-117.1259667
"NEWPORT AVENUE, SAN DEIGO",32.7431327,-117.2449981
"DENNERY ROAD, SAN DEIGO",32.58258070000001,-117.032392
"LA JOLLA SHORES DRIVE, SAN DEIGO",32.8644361,-117.2524296
"JACKSON DRIVE, SAN DEIGO",32.812505,-117.0530696
"14TH STREET, SAN DEIGO",32.7109395,-117.1519044
"MADISON AVENUE, SAN DEIGO",32.7610413,-117.1298981
"COMMERCIAL STREET, SAN DEIGO",32.7052234,-117.1381821
"HOWARD AVENUE, SAN DEIGO",32.7540586,-117.1359252
"KEARNY MESA ROAD, SAN DEIGO",32.8166401,-117.1500185
"ALTA VIEW DRIVE, SAN DEIGO",32.679334,-117.0462121
"TROJAN AVENUE, SAN DEIGO",32.7548863,-117.0804211
"ALVARADO ROAD, SAN DEIGO",32.7772514,-117.0573279
"TOWNE CENTRE DRIVE, SAN DEIGO",32.8764206,-117.2075912
"45TH STREET, SAN DEIGO",32.6986625,-117.0980253
"FENTON PARKWAY, SAN DEIGO",32.7808606,-117.1309936
"CHAMOUNE AVENUE, SAN DEIGO",32.7461551,-117.0966248
"08TH AVENUE, SAN DEIGO",32.71068,-117.160293
"E STREET, SAN DEIGO",32.7147828,-117.1396863
"38TH STREET, SAN DEIGO",32.7487724,-117.111902
"60TH STREET, SAN DEIGO",32.7571494,-117.0685582
"LINCOLN AVENUE, SAN DEIGO",32.7503174,-117.1378861
"CATALINA BOULEVARD, SAN DEIGO",32.7270242,-117.2443204
"MURRAY RIDGE ROAD, SAN DEIGO",32.7932367,-117.1445763
"CAM DEL RIO  , SAN DEIGO",32.7713532,-117.1295335
"ULRIC STREET, SAN DEIGO",32.7841029,-117.1694194
"CASS STREET, SAN DEIGO",32.8020211,-117.2532593
"39TH STREET, SAN DEIGO",32.7403575,-117.1107476
"02ND AVENUE, SAN DEIGO",32.7256183,-117.1629788
"PICADOR BOULEVARD, SAN DEIGO",32.5751721,-117.0548495
"BEECH STREET, SAN DEIGO",32.7196538,-117.0922855
"46TH STREET, SAN DEIGO",32.7439765,-117.0957772
"15TH STREET, SAN DEIGO",32.7109884,-117.1503583
"BOUNDARY STREET, SAN DEIGO",32.745101,-117.1219873
"COLLEGE GROVE DRIVE, SAN DEIGO",32.7352312,-117.0662403
"HANCOCK STREET, SAN DEIGO",32.7440881,-117.1877785
"RANCHO CARMEL DRIVE, SAN DEIGO",32.9762841,-117.0835653
"44TH STREET, SAN DEIGO",32.7458691,-117.0998172
"WARING ROAD, SAN DEIGO",32.7908245,-117.0824552
"CARMEL COUNTRY ROAD, SAN DEIGO",32.9420719,-117.2129745
"MEADOWBROOK DRIVE, SAN DEIGO",32.7077946,-117.0336657
"DAIRY MART ROAD, SAN DEIGO",32.5558122,-117.0624264
"GOLD COAST DRIVE, SAN DEIGO",32.9057264,-117.1359092
"LA JOLLA PARKWAY, SAN DEIGO",32.8421331,-117.2395584
"JAMACHA ROAD, SAN DEIGO",32.7128406,-117.0364748
"CESAR E CHAVEZ PARKWAY, SAN DEIGO",32.7004597,-117.1452449
"WINONA AVENUE, SAN DEIGO",32.7566451,-117.0879223
"DEL SOL BOULEVARD, SAN DEIGO",32.5735711,-117.0509606
"HEALTH CENTER DRIVE, SAN DEIGO",32.7974073,-117.1565689
"CHATSWORTH BOULEVARD, SAN DEIGO",32.7386226,-117.2292628
"PEARL STREET, SAN DEIGO",32.8400973,-117.2741998
"SCRIPPS RANCH BOULEVARD, SAN DEIGO",32.9118626,-117.1098261
"SAN DIEGO MISSION ROAD, SAN DEIGO",32.78516,-117.1110704
"VALLEY CENTRE DRIVE, SAN DEIGO",32.937653,-117.2323856
"CAM SANTA FE  , SAN DEIGO",33.0321337,-117.1245533
"PERSHING DRIVE, SAN DEIGO",32.7261709,-117.1418636
"TED WILLIAMS PARKWAY, SAN DEIGO",32.96647859999999,-117.0853146
"THOMAS AVENUE, SAN DEIGO",32.7966876,-117.2408884
"HORNBLEND STREET, SAN DEIGO",32.798042,-117.244232
"POTOMAC STREET, SAN DEIGO",32.6797736,-117.0588194
"SORRENTO VALLEY BOULEVARD, SAN DEIGO",32.9104282,-117.2011179
"K STREET, SAN DEIGO",32.7084411,-117.1395727
"58TH STREET, SAN DEIGO",32.7523974,-117.0720483
"WESTONHILL DRIVE, SAN DEIGO",32.9182202,-117.135689
"PARKSIDE AVENUE, SAN DEIGO",32.670056,-117.0484384
"55TH STREET, SAN DEIGO",32.7690105,-117.0762616
"MARLBOROUGH AVENUE, SAN DEIGO",32.7477854,-117.1057279
"SAN DIEGO AVENUE, SAN DEIGO",32.747108,-117.1906002
"EASTGATE MALL, SAN DEIGO",32.8806387,-117.2022914
"LANDIS STREET, SAN DEIGO",32.7459623,-117.1106638
"MIRAMAR WAY, SAN DEIGO",32.883804,-117.1330021
"FLORIDA STREET, SAN DEIGO",32.7521644,-117.14376
"NEWTON AVENUE, SAN DEIGO",32.6949439,-117.125313
"AKINS AVENUE, SAN DEIGO",32.7109108,-117.0580697
"BARNETT AVENUE, SAN DEIGO",32.7444042,-117.2016893
"CARMEL CREEK ROAD, SAN DEIGO",32.9373845,-117.2292627
"NORTH HARBOR DRIVE, SAN DEIGO",32.7293076,-117.1997407
"CABLE STREET, SAN DEIGO",32.7453709,-117.2497045
"49TH STREET, SAN DEIGO",32.7575952,-117.0889914
"52ND STREET, SAN DEIGO",32.7491368,-117.0835847
"MISSION VILLAGE DRIVE, SAN DEIGO",32.7923761,-117.1226651
"COWLEY WAY, SAN DEIGO",32.7945385,-117.191219
"OCEAN BOULEVARD, SAN DEIGO",32.798138,-117.257362
"CEDAR STREET, SAN DEIGO",32.7219778,-117.1615697
"REDWOOD STREET, SAN DEIGO",32.738844,-117.1163791
"SOLEDAD MTN ROAD, SAN DEIGO",32.8191365,-117.2350081
"70TH STREET, SAN DEIGO",32.7695292,-117.0470182
"BAYVIEW HEIGHTS DRIVE, SAN DEIGO",32.7242693,-117.0775942
"42ND STREET, SAN DEIGO",32.7523393,-117.1044309
"IRIS AVENUE, SAN DEIGO",32.56912,-117.0681448
"ORO VISTA ROAD, SAN DEIGO",32.5677018,-117.0776021
"MARLBOROUGH DRIVE, SAN DEIGO",32.7672142,-117.1062755
"ILLINOIS STREET, SAN DEIGO",32.7547141,-117.1277106
"SORRENTO VALLEY ROAD, SAN DEIGO",32.905218,-117.2269374
"OTAY MESA ROAD, SAN DEIGO",32.5678881,-116.9804498
"MENLO AVENUE, SAN DEIGO",32.7458826,-117.0944717
"FELSPAR STREET, SAN DEIGO",32.7989021,-117.2493797
"HOTEL CIRCLE SOUTH  , SAN DEIGO",32.7589782,-117.1770853
"OHIO STREET, SAN DEIGO",32.7559346,-117.1289521
"FAY AVENUE, SAN DEIGO",32.8395191,-117.2735002
"BAYARD STREET, SAN DEIGO",32.7999983,-117.254587
"GOLFCREST DRIVE, SAN DEIGO",32.8081055,-117.0407532
"DIAMOND STREET, SAN DEIGO",32.8019873,-117.2444748
"JEWELL STREET, SAN DEIGO",32.7947918,-117.2373112
"EVERTS STREET, SAN DEIGO",32.8000513,-117.2487534
"FANUEL STREET, SAN DEIGO",32.8009291,-117.2470721
"EXECUTIVE DRIVE, SAN DEIGO",32.8760778,-117.2096999
"BOSTON AVENUE, SAN DEIGO",32.6939141,-117.1178289
"COAST BOULEVARD, SAN DEIGO",32.8450381,-117.2784869
"FLANDERS DRIVE, SAN DEIGO",32.9069902,-117.1532354
"29TH STREET, SAN DEIGO",32.7270669,-117.131984
"VAN DYKE AVENUE, SAN DEIGO",32.7514573,-117.1032332
"NEW SALEM STREET, SAN DEIGO",32.9155518,-117.1494799
"CALLE CRISTOBAL  , SAN DEIGO",32.92759400000001,-117.1623621
"FROST STREET, SAN DEIGO",32.8002545,-117.1530759
"TURQUOISE STREET, SAN DEIGO",32.809277,-117.2562078
"ADOBE FALLS ROAD, SAN DEIGO",32.7824851,-117.0778117
"CHEROKEE AVENUE, SAN DEIGO",32.7524163,-117.1143282
"SPRING CANYON ROAD, SAN DEIGO",32.921786,-117.0630275
"LAKE MURRAY BOULEVARD, SAN DEIGO",32.7905179,-117.0209907
"OREGON STREET, SAN DEIGO",32.7572784,-117.1351377
"HIGHLAND AVENUE, SAN DEIGO",32.7458639,-117.0987762
"37TH STREET, SAN DEIGO",32.7515385,-117.1131259
"19TH STREET, SAN DEIGO",32.7126106,-117.1466897
"ASHFORD STREET, SAN DEIGO",32.810624,-117.1599087
"SANTA MONICA AVENUE, SAN DEIGO",32.7445151,-117.2451352
"CAPRICORN WAY, SAN DEIGO",32.9250008,-117.1309776
"UPAS STREET, SAN DEIGO",32.7409805,-117.1370684
"JUNIPER STREET, SAN DEIGO",32.729633,-117.125282
"ALTADENA AVENUE, SAN DEIGO",32.7582743,-117.0857596
"EBERS STREET, SAN DEIGO",32.7426193,-117.2467722
"SABRE SPRINGS PARKWAY, SAN DEIGO",32.9565092,-117.0936388
"RANCHO MISSION ROAD, SAN DEIGO",32.7854254,-117.1103972
"EMERALD STREET, SAN DEIGO",32.8016481,-117.2414398
"LEBON DRIVE, SAN DEIGO",32.8678866,-117.2247315
"HOTEL SOUTH CIRCLE, SAN DEIGO",32.7589782,-117.1770853
"DELTA STREET, SAN DEIGO",32.6887676,-117.1038107
"BERYL STREET, SAN DEIGO",32.8065048,-117.2419501
"ZION AVENUE, SAN DEIGO",32.7929266,-117.0889703
"REO DRIVE, SAN DEIGO",32.6728137,-117.0621611
"NAUTILUS STREET, SAN DEIGO",32.8323323,-117.2648349
"NAPA STREET, SAN DEIGO",32.7649435,-117.1964535
"REAGAN ROAD, SAN DEIGO",32.9140506,-117.1493543
"ABBOTT STREET, SAN DEIGO",32.7511022,-117.2500739
"BANCROFT STREET, SAN DEIGO",32.7437939,-117.1239335
"KURTZ STREET, SAN DEIGO",32.7539478,-117.2065397
"FASHION VALLEY ROAD, SAN DEIGO",32.7651084,-117.170485
"SIEMPRE VIVA ROAD, SAN DEIGO",32.5533034,-116.9556627
"BERNARDO HEIGHTS PARKWAY, SAN DEIGO",33.0050085,-117.0708052
"RIVIERA DRIVE, SAN DEIGO",32.7865598,-117.2397114
"MT ACADIA BOULEVARD, SAN DEIGO",32.8041913,-117.1841264
"HILLERY DRIVE, SAN DEIGO",32.9128815,-117.1272337
"ALABAMA STREET, SAN DEIGO",32.7512384,-117.1425249
"WORLD TRADE DRIVE, SAN DEIGO",32.98369,-117.0738674
"34TH STREET, SAN DEIGO",32.7316459,-117.1208491
"CANON STREET, SAN DEIGO",32.7246492,-117.2364626
"MERCURY STREET, SAN DEIGO",32.8269782,-117.1488462
"SWIFT AVENUE, SAN DEIGO",32.7519678,-117.1192794
"CHARMANT DRIVE, SAN DEIGO",32.8621796,-117.2289074
"FIESTA ISLAND ROAD, SAN DEIGO",32.7786036,-117.2178504
"NORTHSIDE DRIVE, SAN DEIGO",32.7836083,-117.1274913
"STATE STREET, SAN DEIGO",32.7277683,-117.168894
"WABASH AVENUE, SAN DEIGO",32.7497599,-117.1210143
"FLORIDA DRIVE, SAN DEIGO",32.7317856,-117.1431839
"26TH STREET, SAN DEIGO",32.7143118,-117.138189
"COMSTOCK STREET, SAN DEIGO",32.7897146,-117.1750476
"I-5 SB  , SAN DEIGO",40.7849921,-122.3083332
"QUALCOMM WAY, SAN DEIGO",32.7733055,-117.1403524
"HOTEL CIRCLE, SAN DEIGO",32.758417,-117.1743352
"MT ALIFAN DRIVE, SAN DEIGO",32.8162315,-117.1851886
"OTHELLO AVENUE, SAN DEIGO",32.8171659,-117.1543141
"COLUMBIA STREET, SAN DEIGO",32.7285844,-117.1696004
"ACTIVITY ROAD, SAN DEIGO",32.8968053,-117.1289213
"ZOO DRIVE, SAN DEIGO",32.7366353,-117.1489752
"SCRANTON ROAD, SAN DEIGO",32.8944978,-117.2021563
"UTAH STREET, SAN DEIGO",32.7534083,-117.1326407
"FERN STREET, SAN DEIGO",32.7244481,-117.1292506
"FELTON STREET, SAN DEIGO",32.7428809,-117.1217976
"63RD STREET, SAN DEIGO",32.7653867,-117.0629327
"SANDROCK ROAD, SAN DEIGO",32.8052718,-117.1400583
"INNOVATION DRIVE, SAN DEIGO",32.9932237,-117.0782986
"PENNSYLVANIA AVENUE, SAN DEIGO",32.7453202,-117.1542053
"MAST BOULEVARD, SAN DEIGO",32.8469209,-117.0223709
"MOORE STREET, SAN DEIGO",32.7484207,-117.193728
"CALLE PRIMERA  , SAN DEIGO",32.5508365,-117.0454967
"STREAMVIEW DRIVE, SAN DEIGO",32.7432395,-117.072026
"MT ABERNATHY AVENUE, SAN DEIGO",32.8263486,-117.1728971
"MORAGA AVENUE, SAN DEIGO",32.8197687,-117.2126882
"KENSINGTON DRIVE, SAN DEIGO",32.7643544,-117.107334
"THORN STREET, SAN DEIGO",32.7392534,-117.1254281
"ELM STREET, SAN DEIGO",32.72440280000001,-117.1272578
"NORMAL STREET, SAN DEIGO",32.7521124,-117.1481502
"CROWN POINT DRIVE, SAN DEIGO",32.7880691,-117.2345789
"RICHMOND STREET, SAN DEIGO",32.7435008,-117.1512101
"65TH STREET, SAN DEIGO",32.7099607,-117.0579512
"LORING STREET, SAN DEIGO",32.8063768,-117.2516748
"51ST STREET, SAN DEIGO",32.7352156,-117.0856859
"HILLTOP DRIVE, SAN DEIGO",32.7150755,-117.0956908
"CLEVELAND AVENUE, SAN DEIGO",32.75534,-117.1500089
"VISTA SORRENTO PARKWAY, SAN DEIGO",32.9031612,-117.2219081
"MERCY ROAD, SAN DEIGO",32.9386486,-117.1147846
"IDAHO STREET, SAN DEIGO",32.7572753,-117.1338941
"AMHERST STREET, SAN DEIGO",32.7676054,-117.04851
"CAMPUS POINT DRIVE, SAN DEIGO",32.8857884,-117.2212144
"GROVE AVENUE, SAN DEIGO",32.5728058,-117.0782361
"FRANKLIN AVENUE, SAN DEIGO",32.7022231,-117.130587
"COTTONWOOD ROAD, SAN DEIGO",32.5564712,-117.0479889
"KANSAS STREET, SAN DEIGO",32.7572897,-117.1314281
"53RD STREET, SAN DEIGO",32.7561605,-117.0816232
"OCEAN VIEW HILLS PARKWAY, SAN DEIGO",32.5760767,-117.022651
"CAM DEL ESTE  , SAN DEIGO",32.7718244,-117.1444861
"AIRWAY ROAD, SAN DEIGO",32.5652051,-117.016102
"GILMAN DRIVE, SAN DEIGO",32.8638702,-117.2361009
"VERMONT STREET, SAN DEIGO",32.7474586,-117.1534532
"ROSELLE STREET, SAN DEIGO",32.8985842,-117.2227318
"CHALCEDONY STREET, SAN DEIGO",32.8046991,-117.2411314
"CONRAD AVENUE, SAN DEIGO",32.8353637,-117.1932521
"22ND STREET, SAN DEIGO",32.713692,-117.1440242
"VIEWRIDGE AVENUE, SAN DEIGO",32.8238656,-117.1228737
"CARDIFF STREET, SAN DEIGO",32.71231480000001,-117.0244058
"MAYA LINDA ROAD, SAN DEIGO",32.9042438,-117.117879
"PROSPECT STREET, SAN DEIGO",32.8451285,-117.2767478
"LOUISIANA STREET, SAN DEIGO",32.7521751,-117.1400523
"FULTON STREET, SAN DEIGO",32.7898617,-117.1674304
"HAINES STREET, SAN DEIGO",32.7960173,-117.2416698
"ESTRELLA AVENUE, SAN DEIGO",32.754934,-117.090079
"VANDEVER AVENUE, SAN DEIGO",32.7876619,-117.093894
"HOTEL CIRCLE NORTH  , SAN DEIGO",32.760655,-117.1715537
"NARRAGANSETT AVENUE, SAN DEIGO",32.739861,-117.243858
"48TH STREET, SAN DEIGO",32.7555696,-117.0911451
"GRAMERCY DRIVE, SAN DEIGO",32.8025093,-117.1341017
"BRIARWOOD ROAD, SAN DEIGO",32.6849712,-117.0349998
"KNOXVILLE STREET, SAN DEIGO",32.7747059,-117.2026297
"IOWA STREET, SAN DEIGO",32.7559479,-117.1264731
"SOLOLA AVENUE, SAN DEIGO",32.6936932,-117.0864354
"HISTORIC DECATUR ROAD, SAN DEIGO",32.7349664,-117.2160885
"DAWES STREET, SAN DEIGO",32.8017517,-117.2512392
"WILSON AVENUE, SAN DEIGO",32.7542363,-117.1168443
"BROOKHAVEN ROAD, SAN DEIGO",32.6982355,-117.0310044
"ARMOUR STREET, SAN DEIGO",32.8199841,-117.1546852
"MISSOURI STREET, SAN DEIGO",32.8031102,-117.2438402
"LISBON STREET, SAN DEIGO",32.7120664,-117.0434043
"21ST STREET, SAN DEIGO",32.71210000000001,-117.1449151
"HOTEL NORTH CIRCLE, SAN DEIGO",32.760655,-117.1715537
"SAN DIEGUITO ROAD, SAN DEIGO",32.9885621,-117.1959089
"PENASQUITOS DRIVE, SAN DEIGO",32.9842479,-117.091721
"JUDICIAL DRIVE, SAN DEIGO",32.8729109,-117.2047581
"DWIGHT STREET, SAN DEIGO",32.744131,-117.1162765
"JUTLAND DRIVE, SAN DEIGO",32.8279381,-117.221242
"FAMOSA BOULEVARD, SAN DEIGO",32.7480476,-117.2293422
"CONVOY COURT, SAN DEIGO",32.8347063,-117.1596482
"PASEO LUCIDO  , SAN DEIGO",33.0067513,-117.0673342
"BRIGHTON AVENUE, SAN DEIGO",32.7481015,-117.2447355
"WILLIE JAMES JONES AVENUE, SAN DEIGO",32.70599000000001,-117.088253
"SCOTT STREET, SAN DEIGO",32.7228555,-117.2291579
"ALPHA STREET, SAN DEIGO",32.6923012,-117.1075014
"CARDENO DRIVE, SAN DEIGO",32.822121,-117.249023
"SAN PASQUAL ROAD, SAN DEIGO",33.0835201,-117.0316249
